cluster_id,slot,weekday_kwh,weekend_kwh
ACORN-U,0,0.17107784431137724,0.23291071428571428
ACORN-U,1,0.14079999999999998,0.17401785714285717
ACORN-U,2,0.12465,0.14514285714285716
ACORN-U,3,0.1106625,0.14798214285714284
ACORN-U,4,0.10778125000000001,0.14094643035714285
ACORN-U,5,0.10975776397515527,0.10650000000000001
ACORN-U,6,0.10277018633540372,0.12153571428571429
ACORN-U,7,0.10586335403726709,0.11108928571428571
ACORN-U,8,0.11178260869565217,0.11178571428571428
ACORN-U,9,0.10785093229813664,0.10928571428571429
ACORN-U,10,0.1022360248447205,0.10771428571428572
ACORN-U,11,0.10320496894409938,0.10305357142857142
ACORN-U,12,0.13290683229813666,0.10353571428571429
ACORN-U,13,0.3187888192546584,0.12369642857142858
ACORN-U,14,0.2065031055900621,0.13128571428571428
ACORN-U,15,0.20382608695652177,0.17326785714285714
ACORN-U,16,0.2459503105590062,0.2709821428571429
ACORN-U,17,0.27069565217391306,0.23283928571428572
ACORN-U,18,0.35881366211180127,0.20755357142857142
ACORN-U,19,0.2828447198757764,0.2029642857142857
ACORN-U,20,0.2224844708074534,0.32907142857142857
ACORN-U,21,0.2199503099378882,0.38887500178571427
ACORN-U,22,0.22344099440993787,0.3795892875
ACORN-U,23,0.21888198757763977,0.3364642821428571
ACORN-U,24,0.22133540248447206,0.41051785714285716
ACORN-U,25,0.2535217391304348,0.3024464285714286
ACORN-U,26,0.24890683229813662,0.2905535696428571
ACORN-U,27,0.2479441,0.30719642857142854
ACORN-U,28,0.23709316832298136,0.30580357142857145
ACORN-U,29,0.23733540310559004,0.33289285714285716
ACORN-U,30,0.24593788881987577,0.27716071428571426
ACORN-U,31,0.23722360248447202,0.28344642857142854
ACORN-U,32,0.26712422360248445,0.29291071428571425
ACORN-U,33,0.29165838447204967,0.28098214285714285
ACORN-U,34,0.31883850931677016,0.35448214285714286
ACORN-U,35,0.3528695658385093,0.4050357160714286
ACORN-U,36,0.382167702484472,0.37783928214285717
ACORN-U,37,0.39668322919254656,0.43591071607142856
ACORN-U,38,0.39664596211180125,0.3680178571428572
ACORN-U,39,0.3757142857142857,0.3821964267857143
ACORN-U,40,0.3593478260869565,0.40716071428571426
ACORN-U,41,0.38288819937888197,0.3987818181818182
ACORN-U,42,0.3534968950310559,0.35948214285714286
ACORN-U,43,0.33498757826086956,0.38525
ACORN-U,44,0.32221118012422356,0.3165090890909091
ACORN-U,45,0.31877639751552794,0.2998545454545455
ACORN-U,46,0.24909316832298137,0.2701454545454546
ACORN-U,47,0.20593167701863355,0.22378181818181817
Adversity,0,0.2060468215994532,0.2216129362422998
Adversity,1,0.18322574875178319,0.19839671099691675
Adversity,2,0.16984522132667618,0.18409958952772074
Adversity,3,0.15186055638373752,0.16308624240246405
Adversity,4,0.14140870181883025,0.15699075965092402
Adversity,5,0.13110805977175463,0.14292915841889117
Adversity,6,0.12410246347732952,0.1325400410677618
Adversity,7,0.11500427974322397,0.12155749507186858
Adversity,8,0.10989586305278175,0.11764989722792608
Adversity,9,0.10860413687589159,0.11580267204522096
Adversity,10,0.11024358052781741,0.10909763638232271
Adversity,11,0.11468972895863051,0.10345015416238437
Adversity,12,0.12227496437232525,0.10941109979445016
Adversity,13,0.1438990727532097,0.1256474820143885
Adversity,14,0.1541137661198288,0.1257584789311408
Adversity,15,0.1727557061697575,0.15003597101747174
Adversity,16,0.19226569172610555,0.16822073921971253
Adversity,17,0.18689942935092724,0.18242094455852156
Adversity,18,0.17392617699714694,0.19177674927983537
Adversity,19,0.1826748749821556,0.2087936342915811
Adversity,20,0.19036483580599145,0.2246047223819302
Adversity,21,0.19169757485734665,0.22792915841889116
Adversity,22,0.1990624330717089,0.24339014383983573
Adversity,23,0.19678487356403854,0.24272073921971252
Adversity,24,0.21072565108811986,0.2549435316221766
Adversity,25,0.21529728775874377,0.25555852135523616
Adversity,26,0.213727694468237,0.2441190959958932
Adversity,27,0.20950285521056392,0.25319199199178644
Adversity,28,0.21086224118486793,0.24694558490759752
Adversity,29,0.21251195155190866,0.25820020554414785
Adversity,30,0.20380342483053873,0.2605954824435318
Adversity,31,0.21087763107384944,0.2676293638603696
Adversity,32,0.23520328095577744,0.2721416836755647
Adversity,33,0.2677878029957204,0.2852569380267215
Adversity,34,0.2905663338088445,0.31736036960985625
Adversity,35,0.3154457917617689,0.333854209137577
Adversity,36,0.32642811270067784,0.32749383963039014
Adversity,37,0.3265688303138374,0.3254496921971252
Adversity,38,0.3270310271754636,0.3156981520533881
Adversity,39,0.3229514978958631,0.30915210668037
Adversity,40,0.3058041381377096,0.304497946714579
Adversity,41,0.3033467713877988,0.29042915800821356
Adversity,42,0.2962282455064194,0.27693326478439423
Adversity,43,0.28172289618402285,0.2724004107802875
Adversity,44,0.26643473591298145,0.2617813140657084
Adversity,45,0.2526319544935806,0.24296714568788502
Adversity,46,0.22608808830242513,0.21760369620123202
Adversity,47,0.19746718972895863,0.19303901416837782
Affluent,0,0.27059035528212777,0.29833383047690015
Affluent,1,0.24331465613488976,0.2651481755026061
Affluent,2,0.21887133564202332,0.2390119219076006
Affluent,3,0.20277996873378307,0.22125633405365128
Affluent,4,0.18265499307392996,0.199525335171386
Affluent,5,0.16717380007782104,0.18308345745156482
Affluent,6,0.1529483786770428,0.16774515670640833
Affluent,7,0.14124072627756162,0.15007078994038747
Affluent,8,0.13162931263294422,0.13586885283159464
Affluent,9,0.13722153042801555,0.13914296366344006
Affluent,10,0.1416339818677043,0.13981757237527923
Affluent,11,0.15827003891050584,0.1536254653760238
Affluent,12,0.1846368353307393,0.1714072970960536
Affluent,13,0.20390868998702982,0.1791005211466865
Affluent,14,0.2246036316212711,0.17458227862993297
Affluent,15,0.2810171206744488,0.18745867460908414
Affluent,16,0.30605706889753564,0.22017498116157855
Affluent,17,0.3027161390243902,0.2611110286140089
Affluent,18,0.2988121920622568,0.2979560356184799
Affluent,19,0.28745430939771544,0.31633457540983606
Affluent,20,0.27652217904020754,0.32845048406552496
Affluent,21,0.2678357976653697,0.3309538344005957
Affluent,22,0.2619893478565861,0.3293842145941921
Affluent,23,0.26084950700570836,0.32721221124348476
Affluent,24,0.27187178813911234,0.3290268050632912
Affluent,25,0.2737843796574987,0.3443745344005957
Affluent,26,0.2679011672373541,0.34954098308494785
Affluent,27,0.2664565496238651,0.337894187928465
Affluent,28,0.25866329447470815,0.3444731740685544
Affluent,29,0.26609546023346303,0.34259538017883756
Affluent,30,0.2685180283527886,0.33202756989567805
Affluent,31,0.2724018158236057,0.3356415793591654
Affluent,32,0.2804785989883269,0.34232861423248884
Affluent,33,0.32242516233463037,0.3616967211624441
Affluent,34,0.3611084310246433,0.40040163926974665
Affluent,35,0.40766502311883757,0.42956930022354695
Affluent,36,0.41389231959003636,0.45608792824143074
Affluent,37,0.4410243898806435,0.47911997078986585
Affluent,38,0.45387597280747277,0.47183308487332337
Affluent,39,0.4650778412817852,0.4780305739000746
Affluent,40,0.45838767587103485,0.44467138643815207
Affluent,41,0.4409447185569686,0.4212025310498883
Affluent,42,0.41856875983393876,0.40377736455696206
Affluent,43,0.3983998443954333,0.3825807892777364
Affluent,44,0.37500311281452664,0.3628734183172003
Affluent,45,0.34354580856475475,0.33248175748324643
Affluent,46,0.29312892332036317,0.2869255396872673
Affluent,47,0.24477302207522697,0.24854132516753535
Comfortable,0,0.21829339224669603,0.24304617427440633
Comfortable,1,0.1840101196872125,0.21244268787878787
Comfortable,2,0.15669687221711132,0.18262450632411067
Comfortable,3,0.13885918090197882,0.16472859051383398
Comfortable,4,0.13193376260349585,0.1442239790513834
Comfortable,5,0.12583946642134314,0.13759156785243742
Comfortable,6,0.11972434422457433,0.13026218708827406
Comfortable,7,0.11506255749770009,0.12279841897233201
Comfortable,8,0.11297976080956762,0.1190790513833992
Comfortable,9,0.11460975609756098,0.11856126469038208
Comfortable,10,0.11307869305108145,0.11704874835309619
Comfortable,11,0.12376816927322908,0.1295494072463768
Comfortable,12,0.14089650423183073,0.14432411040843215
Comfortable,13,0.17016237364305428,0.1507536234519104
Comfortable,14,0.19297700101195953,0.16208959156785244
Comfortable,15,0.2290726769549218,0.16775757575757577
Comfortable,16,0.2731366774505292,0.19114097496706192
Comfortable,17,0.276326126724931,0.229011857312253
Comfortable,18,0.25133118712051516,0.23646508537549404
Comfortable,19,0.2461872985273815,0.2651422927536232
Comfortable,20,0.2472083717571297,0.2882744067282322
Comfortable,21,0.2479931001379945,0.31706587562582345
Comfortable,22,0.24226218955841763,0.32057444057971013
Comfortable,23,0.2547525298528059,0.334397892226614
Comfortable,24,0.24508325662373504,0.31219104057971014
Comfortable,25,0.24114397396504142,0.3177035577075099
Comfortable,26,0.2472824287948482,0.33359288484848487
Comfortable,27,0.24846479535204785,0.34452173781291173
Comfortable,28,0.2431508739650414,0.3347641628458498
Comfortable,29,0.24174655004599815,0.32302371554677206
Comfortable,30,0.2493612515876668,0.32167061976284583
Comfortable,31,0.26171514012885416,0.3409446645586298
Comfortable,32,0.2702457434882651,0.3541884061923584
Comfortable,33,0.3046083756557754,0.3679841897233202
Comfortable,34,0.35337275674183155,0.3974426873517786
Comfortable,35,0.3879645653474459,0.4315098822134387
Comfortable,36,0.4071596863322596,0.43211330606060605
Comfortable,37,0.4237215828808099,0.45411198919631096
Comfortable,38,0.4353747703038674,0.4418774706192358
Comfortable,39,0.44450805342843996,0.4381226914248021
Comfortable,40,0.4127533363092499,0.4201912926121372
Comfortable,41,0.4029958564917127,0.4070910283641161
Comfortable,42,0.38775471721122867,0.39052110870712403
Comfortable,43,0.3791425944342226,0.3669168864116095
Comfortable,44,0.362956301425943,0.34570184656992087
Comfortable,45,0.35318361647491947,0.33576253298153036
Comfortable,46,0.3177203311867525,0.3046258231884058
Comfortable,47,0.26479990791168356,0.2774874836627141
